package_name,package_title,resource_name,resource_format,columns,has_example_row,description
opendata_ruhver_prm_gebiete_poly,Parkraummanagementgebiete,WFS (GML),xml,36,True,Parkraummanagementgebiete
opendata_ruhver_prm_gebiete_poly,Parkraummanagementgebiete,WFS (CSV),csv,8,True,Parkraummanagementgebiete
opendata_ruhver_prm_gebiete_poly,Parkraummanagementgebiete,Metadaten (XML),xml,20,True,Parkraummanagementgebiete
opendata_ruhver_parkseiten_laden_liefern_leisten,"Laden, Liefern, Leisten",Metadaten (XML),xml,20,True,"Laden, Liefern, Leisten"
opendata_ruhver_parkseiten_laden_liefern_leisten,"Laden, Liefern, Leisten",WFS (GML),xml,40,True,"Laden, Liefern, Leisten"
opendata_ruhver_parkseiten_laden_liefern_leisten,"Laden, Liefern, Leisten",WFS (CSV),csv,10,True,"Laden, Liefern, Leisten"
ruhver_els_saeule_point,Ladeeinrichtungen,WFS (GML),xml,34,True,Ladeeinrichtungen
ruhver_els_saeule_point,Ladeeinrichtungen,WFS (CSV),csv,8,True,Ladeeinrichtungen
ruhver_els_saeule_point,Ladeeinrichtungen,Metadaten (XML),xml,20,True,Ladeeinrichtungen
g_sensor_3l_zonen,Digitale 3L-Zonen,Metadaten (XML),xml,20,True,Digitale 3L-Zonen
g_sensor_3l_zonen,Digitale 3L-Zonen,WFS (GML),xml,28,True,Digitale 3L-Zonen
g_sensor_3l_zonen,Digitale 3L-Zonen,WFS (CSV),csv,6,True,Digitale 3L-Zonen
opendata_ruhver_parkseiten_line,Parkseiten,WFS (GML),xml,40,True,Parkseiten
opendata_ruhver_parkseiten_line,Parkseiten,WFS (CSV),csv,10,True,Parkseiten
opendata_ruhver_parkseiten_line,Parkseiten,Metadaten (XML),xml,20,True,Parkseiten
opendata_ruhver_lastenradparken_line,Lastenradparken,WFS (GML),xml,51,True,Lastenradparken
opendata_ruhver_lastenradparken_line,Lastenradparken,WFS (CSV),csv,15,True,Lastenradparken
opendata_ruhver_lastenradparken_line,Lastenradparken,Metadaten (XML),xml,20,True,Lastenradparken
ruhver_mim_abstellverbot_ts,Abstellverbotszonen für E-Tretroller,WFS (GML),xml,55,True,Abstellverbotszonen für E-Tretroller
ruhver_mim_abstellverbot_ts,Abstellverbotszonen für E-Tretroller,Metadaten (XML),xml,365,True,Abstellverbotszonen für E-Tretroller
ruhver_mim_abstellverbot_ts,Abstellverbotszonen für E-Tretroller,Vordefinierte Teilmengen des Datensatzes,html,5,True,Abstellverbotszonen für E-Tretroller
behindertenparkplaetze,Behindertenparkplätze,WFS (CSV),csv,19,True,Behindertenparkplätze
behindertenparkplaetze,Behindertenparkplätze,WFS (GML),xml,67,True,Behindertenparkplätze
behindertenparkplaetze,Behindertenparkplätze,Metadaten (XML),xml,20,True,Behindertenparkplätze
ruhver_mim_abstellfl_ls,Lastenradsharing Abstellflächen,WFS (CSV),csv,17,True,Lastenradsharing Abstellflächen
ruhver_mim_abstellfl_ls,Lastenradsharing Abstellflächen,WFS (GML),xml,61,True,Lastenradsharing Abstellflächen
ruhver_mim_abstellfl_ls,Lastenradsharing Abstellflächen,Metadaten (XML),xml,365,True,Lastenradsharing Abstellflächen
ruhver_mim_abstellfl_ls,Lastenradsharing Abstellflächen,Vordefinierte Teilmengen des Datensatzes,html,5,True,Lastenradsharing Abstellflächen
ruhver_mim_fahrverbot_ts,Fahrverbotszonen für E-Tretroller,WFS (CSV),csv,14,True,Fahrverbotszonen für E-Tretroller
ruhver_mim_fahrverbot_ts,Fahrverbotszonen für E-Tretroller,WFS (GML),xml,60,True,Fahrverbotszonen für E-Tretroller
ruhver_mim_fahrverbot_ts,Fahrverbotszonen für E-Tretroller,Metadaten (XML),xml,365,True,Fahrverbotszonen für E-Tretroller
ruhver_mim_fahrverbot_ts,Fahrverbotszonen für E-Tretroller,Vordefinierte Teilmengen des Datensatzes,html,5,True,Fahrverbotszonen für E-Tretroller
ruhver_els_standort_point,Standorte der Ladeinfrastruktur,WFS (CSV),csv,11,True,Standorte der Ladeinfrastruktur
ruhver_els_standort_point,Standorte der Ladeinfrastruktur,Metadaten (XML),xml,20,True,Standorte der Ladeinfrastruktur
ruhver_els_standort_point,Standorte der Ladeinfrastruktur,WFS (GML),xml,43,True,Standorte der Ladeinfrastruktur
ruhver_mim_abstellfl_ms,Abstellflächen für E-Motorroller,WFS (CSV),csv,17,True,Abstellflächen für E-Motorroller
ruhver_mim_abstellfl_ms,Abstellflächen für E-Motorroller,WFS (GML),xml,61,True,Abstellflächen für E-Motorroller
ruhver_mim_abstellfl_ms,Abstellflächen für E-Motorroller,Metadaten (XML),xml,365,True,Abstellflächen für E-Motorroller
ruhver_mim_abstellfl_ms,Abstellflächen für E-Motorroller,Vordefinierte Teilmengen des Datensatzes,html,5,True,Abstellflächen für E-Motorroller
ruhver_radservicestation_point,Radservicestationen,WFS (CSV),csv,8,True,Radservicestationen
ruhver_radservicestation_point,Radservicestationen,WFS (GML),xml,34,True,Radservicestationen
ruhver_radservicestation_point,Radservicestationen,Metadaten (XML),xml,20,True,Radservicestationen
opendata_ruhver_fahrradparken_line,Fahrradparken mit Standardmaßen,WFS (GML),xml,52,True,Fahrradparken mit Standardmaßen
opendata_ruhver_fahrradparken_line,Fahrradparken mit Standardmaßen,WFS (CSV),csv,15,True,Fahrradparken mit Standardmaßen
opendata_ruhver_fahrradparken_line,Fahrradparken mit Standardmaßen,Metadaten (XML),xml,20,True,Fahrradparken mit Standardmaßen
opendata_ruhver_mim_geofence_poly,Geofences für E-Tretroller,WFS (CSV),csv,16,True,Geofences für E-Tretroller
opendata_ruhver_mim_geofence_poly,Geofences für E-Tretroller,WFS (GML),xml,54,True,Geofences für E-Tretroller
opendata_ruhver_mim_geofence_poly,Geofences für E-Tretroller,Metadaten (XML),xml,368,True,Geofences für E-Tretroller
opendata_ruhver_mim_geofence_poly,Geofences für E-Tretroller,Vordefinierte Teilmengen des Datensatzes,html,5,True,Geofences für E-Tretroller
ruhver_mim_flexzone_myradl,Flexzonen für MyRadl,WFS (GML),xml,44,True,Flexzonen für MyRadl
ruhver_mim_flexzone_myradl,Flexzonen für MyRadl,WFS (CSV),csv,10,True,Flexzonen für MyRadl
ruhver_mim_flexzone_myradl,Flexzonen für MyRadl,Metadaten (XML),xml,378,True,Flexzonen für MyRadl
ruhver_carsharing_station,Stationsbasierte Carsharing-Parkplätze,WFS (CSV),csv,16,True,Stationsbasierte Carsharing-Parkplätze
ruhver_carsharing_station,Stationsbasierte Carsharing-Parkplätze,WFS (GML),xml,60,True,Stationsbasierte Carsharing-Parkplätze
ruhver_carsharing_station,Stationsbasierte Carsharing-Parkplätze,Metadaten (XML),xml,22,True,Stationsbasierte Carsharing-Parkplätze
ruhver_carsharing_station,Stationsbasierte Carsharing-Parkplätze,Vordefinierte Teilmengen des Datensatzes,html,5,True,Stationsbasierte Carsharing-Parkplätze
ruhver_mim_abstellfl_bs,Abstellflächen für Bikesharing,WFS (CSV),csv,17,True,Abstellflächen für Bikesharing
ruhver_mim_abstellfl_bs,Abstellflächen für Bikesharing,WFS (GML),xml,61,True,Abstellflächen für Bikesharing
ruhver_mim_abstellfl_bs,Abstellflächen für Bikesharing,Metadaten (XML),xml,365,True,Abstellflächen für Bikesharing
ruhver_mim_abstellfl_bs,Abstellflächen für Bikesharing,Vordefinierte Teilmengen des Datensatzes,html,5,True,Abstellflächen für Bikesharing
ruhver_mim_abstellverbot_bs,Abstellverbotszonen für Bikesharing,WFS (GML),xml,48,True,Abstellverbotszonen für Bikesharing
ruhver_mim_abstellverbot_bs,Abstellverbotszonen für Bikesharing,Metadaten (XML),xml,365,True,Abstellverbotszonen für Bikesharing
ruhver_mim_abstellverbot_bs,Abstellverbotszonen für Bikesharing,Vordefinierte Teilmengen des Datensatzes,html,5,True,Abstellverbotszonen für Bikesharing
ruhver_carsharing,Allgemeine Carsharing-Parkplätze,WFS (CSV),csv,16,True,Allgemeine Carsharing-Parkplätze
ruhver_carsharing,Allgemeine Carsharing-Parkplätze,WFS (GML),xml,51,True,Allgemeine Carsharing-Parkplätze
ruhver_carsharing,Allgemeine Carsharing-Parkplätze,Metadaten (XML),xml,22,True,Allgemeine Carsharing-Parkplätze
ruhver_carsharing,Allgemeine Carsharing-Parkplätze,Vordefinierte Teilmengen des Datensatzes,html,5,True,Allgemeine Carsharing-Parkplätze
opendata_radschnellverb_line,Radschnellverbindungen,WFS (GML),xml,33,True,Radschnellverbindungen
opendata_radschnellverb_line,Radschnellverbindungen,WFS (CSV),csv,11,True,Radschnellverbindungen
opendata_radschnellverb_line,Radschnellverbindungen,Metadaten (XML),xml,20,True,Radschnellverbindungen
opendata_ruhver_mp_standort_point,Mobilitätspunkte,Metadaten (XML),xml,386,True,Mobilitätspunkte
opendata_ruhver_mp_standort_point,Mobilitätspunkte,WFS (GML),xml,81,True,Mobilitätspunkte
opendata_ruhver_mp_standort_point,Mobilitätspunkte,WFS (CSV),csv,22,True,Mobilitätspunkte
opendata_radentscheid_line,Radentscheidmaßnahmen,Metadaten (XML),xml,22,True,Radentscheidmaßnahmen
opendata_radentscheid_line,Radentscheidmaßnahmen,WFS (GML),xml,44,True,Radentscheidmaßnahmen
opendata_radentscheid_line,Radentscheidmaßnahmen,WFS (CSV),csv,9,True,Radentscheidmaßnahmen
ruhver_mim_abstellfl_ts,Abstellflächen für E-Tretroller,WFS (CSV),csv,17,True,Abstellflächen für E-Tretroller
ruhver_mim_abstellfl_ts,Abstellflächen für E-Tretroller,WFS (GML),xml,59,True,Abstellflächen für E-Tretroller
ruhver_mim_abstellfl_ts,Abstellflächen für E-Tretroller,Metadaten (XML),xml,365,True,Abstellflächen für E-Tretroller
ruhver_mim_abstellfl_ts,Abstellflächen für E-Tretroller,Vordefinierte Teilmengen des Datensatzes,html,5,True,Abstellflächen für E-Tretroller
rad_gruene_welle,Grüne Welle Radverkehr,WFS (CSV),csv,10,True,Grüne Welle Radverkehr
rad_gruene_welle,Grüne Welle Radverkehr,Metadaten (XML),xml,20,True,Grüne Welle Radverkehr
rad_gruene_welle,Grüne Welle Radverkehr,WFS (GML),xml,40,True,Grüne Welle Radverkehr
graustufenstadtplan_2024_schriftplatte,Radlstadtplan (Graustufenstadtplan Beschriftung),Metadaten (XML),xml,20,True,Radlstadtplan (Graustufenstadtplan Beschriftung)
opendata_fahrradstrassen_line,Fahrradstraßen,WFS (GML),xml,30,True,Fahrradstraßen
opendata_fahrradstrassen_line,Fahrradstraßen,WFS (CSV),csv,6,True,Fahrradstraßen
opendata_fahrradstrassen_line,Fahrradstraßen,Metadaten (XML),xml,378,True,Fahrradstraßen
opendata_rad_altstadt_radlring_linie,Altstadt-Radlring,WFS (GML),xml,34,True,Altstadt-Radlring
opendata_rad_altstadt_radlring_linie,Altstadt-Radlring,WFS (CSV),csv,10,True,Altstadt-Radlring
opendata_rad_altstadt_radlring_linie,Altstadt-Radlring,Metadaten (XML),xml,358,True,Altstadt-Radlring
opendata_raddauerzaehlstellen,Raddauerzählstellen,WFS (CSV),csv,14,True,Raddauerzählstellen
opendata_raddauerzaehlstellen,Raddauerzählstellen,WFS (GML),xml,52,True,Raddauerzählstellen
opendata_raddauerzaehlstellen,Raddauerzählstellen,Metadaten (XML),xml,20,True,Raddauerzählstellen
rad_rsp_radservicestation,Radlstadtplan (Radservicestationen),WFS (CSV),csv,8,True,Radlstadtplan (Radservicestationen)
rad_rsp_radservicestation,Radlstadtplan (Radservicestationen),WFS (GML),xml,34,True,Radlstadtplan (Radservicestationen)
rad_rsp_radservicestation,Radlstadtplan (Radservicestationen),Metadaten (XML),xml,20,True,Radlstadtplan (Radservicestationen)
rad_rsp_route_line,Radlstadtplan (Ausgeschildertes Radlnetz),WFS (CSV),csv,8,True,Radlstadtplan (Ausgeschildertes Radlnetz)
rad_rsp_route_line,Radlstadtplan (Ausgeschildertes Radlnetz),WFS (GML),xml,27,True,Radlstadtplan (Ausgeschildertes Radlnetz)
rad_rsp_route_line,Radlstadtplan (Ausgeschildertes Radlnetz),Metadaten (XML),xml,20,True,Radlstadtplan (Ausgeschildertes Radlnetz)
rad_rsp_radwege_line,Radlstadtplan (Radwege),WFS (CSV),csv,16,True,Radlstadtplan (Radwege)
rad_rsp_radwege_line,Radlstadtplan (Radwege),WFS (GML),xml,51,True,Radlstadtplan (Radwege)
rad_rsp_radwege_line,Radlstadtplan (Radwege),Metadaten (XML),xml,20,True,Radlstadtplan (Radwege)
rad_rsp_gemradfusswege_line,Radlstadtplan (Gemeinsame Rad- und Fußwege),WFS (CSV),csv,16,True,Radlstadtplan (Gemeinsame Rad- und Fußwege)
rad_rsp_gemradfusswege_line,Radlstadtplan (Gemeinsame Rad- und Fußwege),WFS (GML),xml,51,True,Radlstadtplan (Gemeinsame Rad- und Fußwege)
rad_rsp_gemradfusswege_line,Radlstadtplan (Gemeinsame Rad- und Fußwege),Metadaten (XML),xml,20,True,Radlstadtplan (Gemeinsame Rad- und Fußwege)
rad_rsp_radwege_forstfeld_line,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege),WFS (CSV),csv,16,True,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege)
rad_rsp_radwege_forstfeld_line,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege),WFS (GML),xml,51,True,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege)
rad_rsp_radwege_forstfeld_line,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege),Metadaten (XML),xml,20,True,Radlstadtplan (Für Fuß- und Radverkehr freigegebene Forst- und Feldwege)
deckschichten_opendata,Deckschichten (Opendata),Metadaten (XML),xml,20,True,Deckschichten (Opendata)
deckschichten_opendata,Deckschichten (Opendata),WFS (GML),xml,44,True,Deckschichten (Opendata)
deckschichten_opendata,Deckschichten (Opendata),WFS (CSV),csv,6,True,Deckschichten (Opendata)
kehrbezirke_opendata,Kehrbezirke,Metadaten (XML),xml,20,True,Kehrbezirke
kehrbezirke_opendata,Kehrbezirke,WFS (GML),xml,32,True,Kehrbezirke
kehrbezirke_opendata,Kehrbezirke,WFS (CSV),csv,5,True,Kehrbezirke
qz_borkenkaefer,Borkenkäfer Quarantänezonen,Metadaten (XML),xml,386,True,Borkenkäfer Quarantänezonen
